x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
9.416666666666667629e-02,1.874999999999999931e-03,4.200280883796396303e+00,1.000000000000000036e-10,7.226247350116218231e-05,2.494559349725022231e-07
9.583333333333333981e-02,1.874999999999999931e-03,2.997725388513223344e+00,1.000000000000000036e-10,7.207846464591597790e-05,1.711276701456121265e-07
9.750000000000000333e-02,1.874999999999999931e-03,1.797665395599196581e+00,1.000000000000000036e-10,7.195989672718956678e-05,9.990345742507676926e-08
9.916666666666666685e-02,1.874999999999999931e-03,5.990621642735703967e-01,1.000000000000000036e-10,7.190182679618299232e-05,3.284384497370673384e-08
8.333333333333333868e-04,3.125000000000000173e-03,9.940148307519467608e+01,1.000000000000000036e-10,7.183571438973074068e-05,-5.388171730885458784e-08
2.500000000000000052e-03,3.125000000000000173e-03,9.820399311181429880e+01,1.000000000000000036e-10,7.189102523374570953e-05,-1.639011663547762292e-07
4.166666666666666609e-03,3.125000000000000173e-03,9.700511556740315200e+01,1.000000000000000036e-10,7.200397720348063191e-05,-2.807698775603739388e-07
5.833333333333333599e-03,3.125000000000000173e-03,9.580386053836494398e+01,1.000000000000000036e-10,7.217931722823805064e-05,-4.093253875595336283e-07
7.500000000000000590e-03,3.125000000000000173e-03,9.459913832646188325e+01,1.000000000000000036e-10,7.242438274710351169e-05,-5.548140593720062129e-07
9.166666666666666713e-03,3.125000000000000173e-03,9.338971444679482659e+01,1.000000000000000036e-10,7.274936494481535221e-05,-7.230565574832324768e-07
1.083333333333333370e-02,3.125000000000000173e-03,9.217415949496803762e+01,1.000000000000000036e-10,7.316766313863424121e-05,-9.206111931177927123e-07
1.250000000000000069e-02,3.125000000000000173e-03,9.095079234217368480e+01,1.000000000000000036e-10,7.369633051189237094e-05,-1.154927954842719136e-06
1.416666666666666768e-02,3.125000000000000173e-03,8.971761514457162434e+01,1.000000000000000036e-10,7.435660741428562178e-05,-1.434479756182440553e-06
1.583333333333333467e-02,3.125000000000000173e-03,8.847223876169749701e+01,1.000000000000000036e-10,7.517453075882910799e-05,-1.768848240827764624e-06
1.750000000000000167e-02,3.125000000000000173e-03,8.721179745261065364e+01,1.000000000000000036e-10,7.618159476941170800e-05,-2.168728593485979591e-06
1.916666666666666866e-02,3.125000000000000173e-03,8.593285226938377264e+01,1.000000000000000036e-10,7.741541693469285580e-05,-2.645800649136162518e-06
2.083333333333333565e-02,3.125000000000000173e-03,8.463128355478755793e+01,1.000000000000000036e-10,7.892033033974795700e-05,-3.212392475458044778e-06
2.250000000000000264e-02,3.125000000000000173e-03,8.330217459139217340e+01,1.000000000000000036e-10,8.074777627737516261e-05,-3.880839887434035486e-06
2.416666666666666963e-02,3.125000000000000173e-03,8.193969101220838525e+01,1.000000000000000036e-10,8.295630735497580392e-05,-4.662427415958630869e-06
2.583333333333333662e-02,3.125000000000000173e-03,8.053696434622631273e+01,1.000000000000000036e-10,8.561093477274097177e-05,-5.565795786230863802e-06
2.750000000000000014e-02,3.125000000000000173e-03,7.908599318645035225e+01,1.000000000000000036e-10,8.878148085618772908e-05,-6.594737270637551145e-06
2.916666666666666713e-02,3.125000000000000173e-03,7.757758165102005421e+01,1.000000000000000036e-10,9.253957101147431297e-05,-7.745390072678331913e-06
3.083333333333333412e-02,3.125000000000000173e-03,7.600134081940120723e+01,1.000000000000000036e-10,9.695399055659134635e-05,-9.002964492474914830e-06
