x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
1.488294314381270744e-01,3.562537933203914690e+03,2.035625379332038978e-03,5.073956983684287936e-01,6.605297264849690429e-06
1.505016722408026864e-01,3.546154266559313328e+03,2.035461542665593145e-03,5.074773833953016844e-01,6.605297264849690429e-06
1.521739130434782705e-01,3.529765326261806877e+03,2.035297653262618193e-03,5.075591144520179565e-01,6.605297264849690429e-06
1.538461538461538547e-01,3.513371108383632418e+03,2.035133711083836512e-03,5.076408915835900482e-01,6.605297264849690429e-06
1.555183946488294389e-01,3.496971608994222152e+03,2.034969716089942305e-03,5.077227148350843544e-01,6.605297264849690429e-06
1.571906354515050230e-01,3.480566824160202032e+03,2.034805668241602018e-03,5.078045842516210051e-01,6.605297264849690429e-06
1.588628762541806072e-01,3.464156749945388128e+03,2.034641567499453907e-03,5.078864998783744200e-01,6.605297264849690429e-06
1.605351170568561914e-01,3.447741382410785718e+03,2.034477413824107607e-03,5.079684617605734198e-01,6.605297264849690429e-06
1.622073578595317755e-01,3.431320717614585192e+03,2.034313207176146297e-03,5.080504699435001159e-01,6.605297264849690429e-06
1.638795986622073597e-01,3.414894751612162509e+03,2.034148947516121499e-03,5.081325244724925749e-01,6.605297264849690429e-06
1.655518394648829439e-01,3.398463480456076013e+03,2.033984634804560879e-03,5.082146253929415991e-01,6.605297264849690429e-06
1.672240802675585281e-01,3.382026900196062797e+03,2.033820269001960883e-03,5.082967727502932798e-01,6.605297264849690429e-06
1.688963210702341122e-01,3.365585006879039156e+03,2.033655850068790630e-03,5.083789665900484422e-01,6.605297264849690429e-06
1.705685618729096964e-01,3.349137796549096947e+03,2.033491377965491054e-03,5.084612069577619797e-01,6.605297264849690429e-06
1.722408026755852806e-01,3.332685265247501320e+03,2.033326852652474898e-03,5.085434938990438525e-01,6.605297264849690429e-06
1.739130434782608647e-01,3.316227409012689350e+03,2.033162274090127147e-03,5.086258274595585327e-01,6.605297264849690429e-06
1.755852842809364489e-01,3.299764223880267309e+03,2.032997642238802433e-03,5.087082076850258927e-01,6.605297264849690429e-06
1.772575250836120331e-01,3.283295705883009305e+03,2.032832957058829798e-03,5.087906346212200948e-01,6.605297264849690429e-06
1.789297658862876172e-01,3.266821851050853638e+03,2.032668218510508360e-03,5.088731083139704792e-01,6.605297264849690429e-06
1.806020066889632014e-01,3.250342655410903262e+03,2.032503426554109049e-03,5.089556288091617864e-01,6.605297264849690429e-06
1.822742474916387856e-01,3.233858114987420777e+03,2.032338581149874170e-03,5.090381961527340460e-01,6.605297264849690429e-06
1.839464882943143698e-01,3.217368225801827975e+03,2.032173682258018275e-03,5.091208103906820215e-01,6.605297264849690429e-06
1.856187290969899539e-01,3.200872983872702662e+03,2.032008729838727292e-03,5.092034715690559876e-01,6.605297264849690429e-06
1.872909698996655381e-01,3.184372385215778650e+03,2.031843723852157658e-03,5.092861797339621743e-01,6.605297264849690429e-06
1.889632107023411223e-01,3.167866425843939851e+03,2.031678664258439355e-03,5.093689349315613235e-01,6.605297264849690429e-06
1.906354515050167064e-01,3.151355101767222095e+03,2.031513551017672444e-03,5.094517372080704654e-01,6.605297264849690429e-06
1.923076923076922906e-01,3.134838408992809036e+03,2.031348384089928360e-03,5.095345866097622523e-01,6.605297264849690429e-06
1.939799331103679025e-01,3.118316343525029424e+03,2.031183163435250350e-03,5.096174831829650698e-01,6.605297264849690429e-06
1.956521739130434867e-01,3.101788901365357106e+03,2.031017889013653904e-03,5.097004269740625926e-01,6.605297264849690429e-06
1.973244147157190709e-01,3.085256078512406020e+03,2.030852560785124158e-03,5.097834180294953388e-01,6.605297264849690429e-06
1.989966555183946550e-01,3.068717870961929748e+03,2.030687178709619355e-03,5.098664563957588935e-01,6.605297264849690429e-06
2.006688963210702392e-01,3.052174274706819688e+03,2.030521742747068252e-03,5.099495421194053524e-01,6.605297264849690429e-06
2.023411371237458234e-01,3.035625285737102786e+03,2.030356252857370980e-03,5.100326752470430991e-01,6.605297264849690429e-06
2.040133779264214076e-01,3.019070900039937442e+03,2.030190709000399482e-03,5.101158558253362507e-01,6.605297264849690429e-06
2.056856187290969917e-01,3.002511113599614418e+03,2.030025111135996211e-03,5.101990839010056566e-01,6.605297264849690429e-06
2.073578595317725759e-01,2.985945922397551385e+03,2.029859459223975430e-03,5.102823595208285656e-01,6.605297264849690429e-06
2.090301003344481601e-01,2.969375322412294736e+03,2.029693753224123213e-03,5.103656827316382927e-01,6.605297264849690429e-06
2.107023411371237442e-01,2.952799309619512769e+03,2.029527993096194843e-03,5.104490535803254403e-01,6.605297264849690429e-06
2.123745819397993284e-01,2.936217879991997506e+03,2.029362178799920015e-03,5.105324721138359001e-01,6.605297264849690429e-06
2.140468227424749126e-01,2.919631029499659689e+03,2.029196310294996766e-03,5.106159383791740725e-01,6.605297264849690429e-06
2.157190635451504968e-01,2.903038754109529236e+03,2.029030387541095378e-03,5.106994524233997579e-01,6.605297264849690429e-06
2.173913043478260809e-01,2.886441049785749783e+03,2.028864410497857509e-03,5.107830142936301554e-01,6.605297264849690429e-06
2.190635451505016651e-01,2.869837912489580503e+03,2.028698379124895760e-03,5.108666240370396405e-01,6.605297264849690429e-06
2.207357859531772493e-01,2.853229338179390197e+03,2.028532293381793677e-03,5.109502817008590991e-01,6.605297264849690429e-06
2.224080267558528334e-01,2.836615322810657290e+03,2.028366153228106615e-03,5.110339873323767046e-01,6.605297264849690429e-06
2.240802675585284176e-01,2.819995862335967104e+03,2.028199958623359573e-03,5.111177409789383619e-01,6.605297264849690429e-06
2.257525083612040018e-01,2.803370952705009586e+03,2.028033709527050227e-03,5.112015426879465974e-01,6.605297264849690429e-06
