x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
4.750000000000000056e-02,1.124999999999999958e-02,5.549808514266717907e+01,9.999999999999999799e-13,3.060554344152771234e-06,-4.151825948927349564e-07
5.249999999999999806e-02,1.124999999999999958e-02,4.450191485733438412e+01,9.999999999999999799e-13,3.060554344152788175e-06,4.151825948927405680e-07
5.750000000000000250e-02,1.124999999999999958e-02,3.459918141345586662e+01,1.000000000000000036e-10,6.789842922552651982e-05,3.263300696740804575e-05
6.250000000000000000e-02,1.124999999999999958e-02,2.800543222246516351e+01,1.000000000000000036e-10,1.122582784645054368e-04,6.483533355043318946e-05
6.750000000000000444e-02,1.124999999999999958e-02,2.337335356700532074e+01,1.000000000000000036e-10,8.588170805316464290e-05,3.793601796225615078e-05
7.249999999999999500e-02,1.124999999999999958e-02,1.941726141714869769e+01,1.000000000000000036e-10,7.628444633429861202e-05,2.172933540242140730e-05
7.749999999999999944e-02,1.124999999999999958e-02,1.574490893357545751e+01,1.000000000000000036e-10,7.227016282260716054e-05,1.202673670152861762e-05
8.250000000000000389e-02,1.124999999999999958e-02,1.219024513488798078e+01,1.000000000000000036e-10,7.058541639349812124e-05,6.516808064326723946e-06
8.750000000000000833e-02,1.124999999999999958e-02,8.686367294225643576e+00,1.000000000000000036e-10,6.984941406706489820e-05,3.425542604554081127e-06
9.249999999999999889e-02,1.124999999999999958e-02,5.205303728181489120e+00,1.000000000000000036e-10,6.952200768555361239e-05,1.639018253307930712e-06
9.750000000000000333e-02,1.124999999999999958e-02,1.734166525670280956e+00,1.000000000000000036e-10,6.939470253851769675e-05,4.839181910103772758e-07
2.500000000000000052e-03,1.375000000000000007e-02,9.827828194800150641e+01,1.000000000000000036e-10,6.884805528405137326e-05,-4.876055489191344104e-07
7.499999999999999722e-03,1.375000000000000007e-02,9.483691252359335522e+01,1.000000000000000036e-10,6.876158892785212457e-05,-1.655750290816797451e-06
1.250000000000000069e-02,1.375000000000000007e-02,9.140212305521629332e+01,1.000000000000000036e-10,6.857889212119003828e-05,-3.481165354469339386e-06
1.750000000000000167e-02,1.375000000000000007e-02,8.797902331147435007e+01,1.000000000000000036e-10,6.831652485641653534e-05,-6.698002845241147865e-06
2.249999999999999917e-02,1.375000000000000007e-02,8.457047056957463838e+01,1.000000000000000036e-10,6.817583885275836414e-05,-1.261757213334021559e-05
2.750000000000000014e-02,1.375000000000000007e-02,8.116143942619851259e+01,1.000000000000000036e-10,6.910925374321805214e-05,-2.361234917168644125e-05
3.250000000000000111e-02,1.375000000000000007e-02,7.765954519525283217e+01,1.000000000000000036e-10,7.300779492960087814e-05,-4.280090564561532166e-05
3.749999999999999861e-02,1.375000000000000007e-02,7.386065993323842349e+01,1.000000000000000036e-10,3.950288631083404678e-05,-5.640627676335923464e-05
4.250000000000000305e-02,1.375000000000000007e-02,6.621478979525410580e+01,9.999999999999999799e-13,2.589573543111250586e-06,-4.254827511298169006e-07
4.750000000000000056e-02,1.375000000000000007e-02,5.545939127104124111e+01,9.999999999999999799e-13,2.167418106629380235e-06,7.308347756972468341e-09
5.249999999999999806e-02,1.375000000000000007e-02,4.454060872896030787e+01,9.999999999999999799e-13,2.167418106629388705e-06,-7.308347756965362860e-09
5.750000000000000250e-02,1.375000000000000007e-02,3.378521020474735792e+01,9.999999999999999799e-13,2.589573543111272608e-06,4.254827511298197063e-07
6.250000000000000000e-02,1.375000000000000007e-02,2.613934006676297273e+01,1.000000000000000036e-10,3.950288631083459566e-05,5.640627676336037305e-05
6.750000000000000444e-02,1.375000000000000007e-02,2.234045480474851075e+01,1.000000000000000036e-10,7.300779492960232826e-05,4.280090564561589086e-05
7.249999999999999500e-02,1.375000000000000007e-02,1.883856057380273796e+01,1.000000000000000036e-10,6.910925374321989529e-05,2.361234917168637010e-05
7.749999999999999944e-02,1.375000000000000007e-02,1.542952943042651981e+01,1.000000000000000036e-10,6.817583885276066807e-05,1.261757213333932790e-05
8.250000000000000389e-02,1.375000000000000007e-02,1.202097668852666956e+01,1.000000000000000036e-10,6.831652485642001834e-05,6.698002845240970835e-06
8.750000000000000833e-02,1.375000000000000007e-02,8.597876944784516695e+00,1.000000000000000036e-10,6.857889212119497140e-05,3.481165354469197084e-06
9.249999999999999889e-02,1.375000000000000007e-02,5.163087476407171472e+00,1.000000000000000036e-10,6.876158892785825031e-05,1.655750290817063843e-06
9.750000000000000333e-02,1.375000000000000007e-02,1.721718051998690990e+00,1.000000000000000036e-10,6.884805528405862386e-05,4.876055489191032820e-07
2.500000000000000052e-03,1.625000000000000056e-02,9.829021375177586606e+01,1.000000000000000036e-10,6.832302461864242765e-05,-4.430594958125765662e-07
7.499999999999999722e-03,1.625000000000000056e-02,9.487748378635988900e+01,1.000000000000000036e-10,6.802522778277220422e-05,-1.508164747887690040e-06
1.250000000000000069e-02,1.625000000000000056e-02,9.148769097349864410e+01,1.000000000000000036e-10,6.732828778984795886e-05,-3.188932497604923098e-06
1.750000000000000167e-02,1.625000000000000056e-02,8.814465500737509274e+01,1.000000000000000036e-10,6.601721300405954192e-05,-6.203514676823828760e-06
2.249999999999999917e-02,1.625000000000000056e-02,8.488596967309268848e+01,1.000000000000000036e-10,6.381298965938211887e-05,-1.193960562758888629e-05
2.750000000000000014e-02,1.625000000000000056e-02,8.176335604143687874e+01,1.000000000000000036e-10,6.119277957815880164e-05,-2.344691808205538503e-05
3.250000000000000111e-02,1.625000000000000056e-02,7.876669171527680646e+01,1.000000000000000036e-10,6.948474425732639628e-05,-4.906158966802080215e-05
3.749999999999999861e-02,1.625000000000000056e-02,7.481488161570423756e+01,1.000000000000000036e-10,4.111899252849031909e-05,-1.921026256715190007e-05
4.250000000000000305e-02,1.625000000000000056e-02,6.673037937524280494e+01,9.999999999999999799e-13,2.727775129900689358e-06,3.076813581881196804e-08
4.750000000000000056e-02,1.625000000000000056e-02,5.546154340388231674e+01,9.999999999999999799e-13,2.219192277912359208e-06,1.642660504343495810e-08
5.249999999999999806e-02,1.625000000000000056e-02,4.453845659611921093e+01,9.999999999999999799e-13,2.219192277912364290e-06,-1.642660504343638085e-08
