x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
3.916666666666666907e-02,3.125000000000000173e-03,6.562944929291845142e+01,1.000000000000000036e-10,1.247576488343613184e-04,-1.222023738037364315e-05
4.083333333333333259e-02,3.125000000000000173e-03,6.349331782742310537e+01,1.000000000000000036e-10,1.316943081712845418e-04,-1.237309711319511168e-05
4.250000000000000305e-02,3.125000000000000173e-03,6.123963902054229891e+01,1.000000000000000036e-10,1.386373230374321659e-04,-1.174786218456119727e-05
4.416666666666666657e-02,3.125000000000000173e-03,5.887207372617536549e+01,1.000000000000000036e-10,1.450014468930510645e-04,-1.008522047594396853e-05
4.583333333333333703e-02,3.125000000000000173e-03,5.640625745744059572e+01,1.000000000000000036e-10,1.500510689514395054e-04,-7.438959299336998947e-06
4.750000000000000056e-02,3.125000000000000173e-03,5.387037142779404775e+01,1.000000000000000036e-10,1.533554890168162287e-04,-4.439818047361256340e-06
4.916666666666667102e-02,3.125000000000000173e-03,5.129440782354672024e+01,1.000000000000000036e-10,1.549433775405376209e-04,-1.463076686171404891e-06
5.083333333333333454e-02,3.125000000000000173e-03,4.870559217644279215e+01,1.000000000000000036e-10,1.549433775405367807e-04,1.463076686171689070e-06
5.250000000000000500e-02,3.125000000000000173e-03,4.612962857219549306e+01,1.000000000000000036e-10,1.533554890168134640e-04,4.439818047361256340e-06
5.416666666666666852e-02,3.125000000000000173e-03,4.359374254254900904e+01,1.000000000000000036e-10,1.500510689514365239e-04,7.438959299335862229e-06
5.583333333333333898e-02,3.125000000000000173e-03,4.112792627381427479e+01,1.000000000000000036e-10,1.450014468930478661e-04,1.008522047594339932e-05
5.750000000000000250e-02,3.125000000000000173e-03,3.876036097944741243e+01,1.000000000000000036e-10,1.386373230374272599e-04,1.174786218456034685e-05
5.916666666666667296e-02,3.125000000000000173e-03,3.650668217256669834e+01,1.000000000000000036e-10,1.316943081712792021e-04,1.237309711319454247e-05
6.083333333333333648e-02,3.125000000000000173e-03,3.437055070707143756e+01,1.000000000000000036e-10,1.247576488343551384e-04,1.222023738037364315e-05
6.250000000000000000e-02,3.125000000000000173e-03,3.234809387808819281e+01,1.000000000000000036e-10,1.181711398536413129e-04,1.157622115051878828e-05
6.416666666666667740e-02,3.125000000000000173e-03,3.043151271195005947e+01,1.000000000000000036e-10,1.121077323879681321e-04,1.065520746176517137e-05
6.583333333333334092e-02,3.125000000000000173e-03,2.861116946515592119e+01,1.000000000000000036e-10,1.066445246553000982e-04,9.597846425433259035e-06
6.750000000000000444e-02,3.125000000000000173e-03,2.687669522344005557e+01,1.000000000000000036e-10,1.018057765239632864e-04,8.495832723944401343e-06
