x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
7.062500000000000722e-02,1.250000000000000026e-04,3.331445573678803385e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.187500000000000833e-02,1.250000000000000026e-04,3.331446164516509612e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.312499999999999556e-02,1.250000000000000026e-04,3.331446747994692146e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.437499999999999667e-02,1.250000000000000026e-04,3.331447324304869539e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.562499999999999778e-02,1.250000000000000026e-04,3.331447893624387007e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.687499999999999889e-02,1.250000000000000026e-04,3.331448456117856836e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-02,1.250000000000000026e-04,3.331449011938481704e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.937500000000000111e-02,1.250000000000000026e-04,3.331449561229196092e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.062500000000000222e-02,1.250000000000000026e-04,3.331450104123714482e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.187500000000000333e-02,1.250000000000000026e-04,3.331450640747441412e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.312500000000000444e-02,1.250000000000000026e-04,3.331451171218325840e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.437500000000000555e-02,1.250000000000000026e-04,3.331451695647564293e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.562500000000000666e-02,1.250000000000000026e-04,3.331452214140289243e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.687500000000000777e-02,1.250000000000000026e-04,3.331452726796143793e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.812499999999999500e-02,1.250000000000000026e-04,3.331453233709804067e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.937499999999999611e-02,1.250000000000000026e-04,3.331453734971387348e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.062499999999999722e-02,1.250000000000000026e-04,3.331454230666570311e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.187499999999999833e-02,1.250000000000000026e-04,3.331454720875205453e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.312499999999999944e-02,1.250000000000000026e-04,3.331455205661743548e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.437500000000000056e-02,1.250000000000000026e-04,3.331455685019574275e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.562500000000000167e-02,1.250000000000000026e-04,3.331456158556335936e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.687500000000000278e-02,1.250000000000000026e-04,3.331456623735388121e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.812500000000000389e-02,1.250000000000000026e-04,3.331457066377221281e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.937500000000000500e-02,1.250000000000000026e-04,3.331457415386264529e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000130e-04,3.750000000000000078e-04,3.330492948127916861e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-03,3.750000000000000078e-04,3.330767319901703445e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000173e-03,3.750000000000000078e-04,3.330916902887588549e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-03,3.750000000000000078e-04,3.330996186501863008e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.624999999999999792e-03,3.750000000000000078e-04,3.331044924135704832e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000035e-03,3.750000000000000078e-04,3.331078941100024622e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000278e-03,3.750000000000000078e-04,3.331104712081383923e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.374999999999999653e-03,3.750000000000000078e-04,3.331125274987855960e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.062500000000000076e-02,3.750000000000000078e-04,3.331142264261071659e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.187500000000000014e-02,3.750000000000000078e-04,3.331156657656769084e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.312499999999999951e-02,3.750000000000000078e-04,3.331169086633605048e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.437500000000000062e-02,3.750000000000000078e-04,3.331179982423220167e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,3.750000000000000078e-04,3.331189652261622314e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
