x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
3.874999999999999972e-02,8.750000000000000182e-04,3.324568722883866485e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.125000000000000194e-02,8.750000000000000182e-04,3.324746321201048431e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-02,8.750000000000000182e-04,3.324913500564634887e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.624999999999999944e-02,8.750000000000000182e-04,3.325071814123657532e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.875000000000000167e-02,8.750000000000000182e-04,3.325222508809933402e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.125000000000000389e-02,8.750000000000000182e-04,3.325366591409871262e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.374999999999999917e-02,8.750000000000000182e-04,3.325504878884582354e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.625000000000000139e-02,8.750000000000000182e-04,3.325638037222652201e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.875000000000000361e-02,8.750000000000000182e-04,3.325766611766887308e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.124999999999999889e-02,8.750000000000000182e-04,3.325891051088457289e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.375000000000000111e-02,8.750000000000000182e-04,3.326011725905754588e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
